Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score,Growth Indicator,Growth Details
-17.94200375,138.82874765000003,,"Item 131, Item 134A","Near 'Doomadgee Community Health Service' (gp); straight-line 218.67 km, est. route 284.26 km from nearest pharmacy | Near 'Doomadgee Rural Hospital' (hospital); straight-line 218.70 km, est. route 284.31 km from nearest pharmacy | Very remote -- 'Doomadgee Community Health Service' (gp) is 218.67 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Doomadgee Rural Hospital' (hospital) is 218.70 km from nearest pharmacy (threshold 90 km)",90%,218.67,Karumba Pharmacy,Doomadgee Community Health Service,gp,QLD,2026-02-14T22:02:22.562515,1387,1387,1387,Doomadgee,1387,0.11,1872.5,0,0,0,0,0,0.0,,303295.3,,
-16.6647062,139.1804346,,"Item 131, Item 134A","Near 'Mornington Island Hospital' (hospital); straight-line 198.46 km, est. route 257.99 km from nearest pharmacy | Very remote -- 'Mornington Island Hospital' (hospital) is 198.46 km from nearest pharmacy (threshold 90 km)",90%,198.46,Karumba Pharmacy,Mornington Island Hospital,hospital,QLD,2026-02-14T22:02:22.575053,1022,1022,1022,Gununa,1022,0.11,1379.7,0,0,0,0,0,0.0,,202826.1,,
-24.8830594,144.0779683,,"Item 131, Item 134A","Near 'Yaraka Primary Health Centre' (gp); straight-line 149.09 km, est. route 193.82 km from nearest pharmacy | Very remote -- 'Yaraka Primary Health Centre' (gp) is 149.09 km from nearest pharmacy (threshold 90 km)",90%,149.09,Alliance Outback Chemist,Yaraka Primary Health Centre,gp,QLD,2026-02-14T22:02:22.554515,500,500,500,Unknown,0,-1,675.0,0,0,0,0,0,0.0,,74545.0,,
-23.6445912,150.3877404,,"Item 131, Item 133","Near 'IGA Mount Morgan' (supermarket); straight-line 24.07 km, est. route 31.29 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Supermarket 'IGA Mount Morgan' (est. GLA 1,500 sqm, brand: iga) with no adjacent pharmacy (nearest 24.07 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,24.07,LiveLife Pharmacy Lawrie Street,IGA Mount Morgan,supermarket,QLD,2026-02-14T22:02:22.647052,2487,2487,2487,Mount Morgan,2487,0.08,2611.3,0,0,0,0,0,0.0,,59862.1,,
-23.6452271,150.3929441,,Item 131,"Near 'Mount Morgan Multipurpose Health Service' (hospital); straight-line 23.99 km, est. route 31.19 km from nearest pharmacy",70%,23.99,LiveLife Pharmacy Lawrie Street,Mount Morgan Multipurpose Health Service,hospital,QLD,2026-02-14T22:02:22.665052,2487,2487,2487,Mount Morgan,2487,0.47,2611.3,0,0,0,0,0,0.0,,59663.1,,
-13.9443174,143.2002726,"Armbrust's General Store, Regent Street, Coen, Cook Shire, Queensland, Australia","Item 131, Item 134A","Near 'Armbrust's General Store' (supermarket); straight-line 204.88 km, est. route 266.34 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Armbrust's General Store' (supermarket) is 204.88 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,204.88,Cape York Guardian Pharmacy,Armbrust's General Store,supermarket,QLD,2026-02-14T22:02:22.549520,279,279,279,Unknown,0,-1,376.7,0,0,0,0,0,0.0,,57161.5,,
-22.9109285,139.9104724,"5-Star Supermarket, Herbert Street, Boulia, Boulia Shire, Queensland, 4829, Australia","Item 131, Item 134A","Near '5-Star Supermarket' (supermarket); straight-line 246.64 km, est. route 320.64 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- '5-Star Supermarket' (supermarket) is 246.64 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,246.64,Mount Isa Pharmacy First,5-Star Supermarket,supermarket,QLD,2026-02-14T22:02:22.544515,218,218,218,Unknown,0,-1,294.3,0,0,0,0,0,0.0,,53767.5,,
-22.9082636,139.9086721,,"Item 131, Item 134A","Near 'Boulia Health Centre' (hospital); straight-line 246.32 km, est. route 320.22 km from nearest pharmacy | Very remote -- 'Boulia Health Centre' (hospital) is 246.32 km from nearest pharmacy (threshold 90 km)",90%,246.32,Mount Isa Pharmacy First,Boulia Health Centre,hospital,QLD,2026-02-14T22:02:22.568515,218,218,218,Unknown,0,-1,294.3,0,0,0,0,0,0.0,,53697.8,,
-27.9704665,144.6348138,,"Item 131, Item 134A","Near 'Royal Flying Doctor Service - Clinic' (gp); straight-line 103.45 km, est. route 134.49 km from nearest pharmacy | Very remote -- 'Royal Flying Doctor Service - Clinic' (gp) is 103.45 km from nearest pharmacy (threshold 90 km)",90%,103.45,Cunnamulla Pharmacy,Royal Flying Doctor Service - Clinic,gp,QLD,2026-02-14T22:02:22.560518,500,500,500,Unknown,0,-1,675.0,0,0,0,0,0,0.0,,51725.0,,
-22.5938169,144.5465739,,"Item 131, Item 134A","Near 'Muttaburra Primary Health Centre' (hospital); straight-line 99.11 km, est. route 128.84 km from nearest pharmacy | Very remote -- 'Muttaburra Primary Health Centre' (hospital) is 99.11 km from nearest pharmacy (threshold 90 km)",90%,99.11,Guardian,Muttaburra Primary Health Centre,hospital,QLD,2026-02-14T22:02:22.572514,500,500,500,Unknown,0,-1,675.0,0,0,0,0,0,0.0,,49555.0,,
